TI1;TI2;TI3;TI4;TI5;TC1;TC2;TI6;LC1;TI7
0,89518;0,81342;0,25994;1,0985;1,0286;0,29276;-0,62532;-0,38694;0,84854;1,0861
0,89518;1,0334;0,25994;1,0916;1,0286;0,29276;-0,62532;-0,86471;0,81036;1,0861
0,89518;1,2789;0,25994;0,88576;1,0286;0,29276;-0,62532;-0,094085;0,72172;1,0861
0,89518;1,3171;0,5452;0,67998;1,0286;0,29276;-0,62532;0,076538;0,53788;1,0861
0,89518;1,1739;0,87438;0,47411;1,0286;0,29276;-0,62532;-0,052448;0,56771;1,0861
0,89518;1,0307;0,97411;0,26832;1,0286;0,29276;-0,62532;-0,11814;0,51422;1,0861
0,89518;0,88752;0,87304;0,67911;1,0286;0,29276;-0,68335;-1,7008;0,5858;1,0861
0,89518;1,2789;0,77197;0,72963;1,0286;0,29276;-0,76614;0,090882;0,53198;1,0861
0,89518;0,88283;0,73998;0,78015;1,0286;0,29276;-0,84893;-0,32008;0,50112;1,1847
0,9006;0,97375;0,73998;0,83068;1,0286;0,29276;-0,93171;0,74781;0,39429;1,3696
1,0635;1,0647;0,73998;0,8812;1,0286;0,29276;-1,0145;-0,08828;0,24334;1,2207
1,0852;1,1071;0,73998;0,93007;1,0286;0,29276;-0,98123;-1,4022;0,18078;1,0203
0,70513;1,1071;0,73998;0,93007;1,0286;0,29276;-0,89844;-0,2675;-0,065732;0,81998
0,79543;0,70614;0,73998;0,93007;1,0286;0,29276;-0,81566;-0,16793;-0,37647;0,6197
0,89518;1,088;0,73998;0,93007;1,0286;0,29276;-0,73287;-1,0439;-0,034093;0,59297
0,89518;1,3247;0,69566;0,87955;1,0286;0,29276;-0,65008;0,74781;0,33033;0,61434
0,89518;0,98106;0,4741;0,82123;1,009;0,29276;-0,59631;0,56865;0,12564;0,63899
0,89518;0,75958;0,26245;0,76292;0,95519;0,29276;-0,55492;-1,7008;0,075392;0,66365
0,89518;0,64503;0,33759;0,70469;0,90142;0,29276;-0,51352;-0,052448;0,12045;0,6883
0,89518;0,97785;0,41273;0,60396;0,84766;0,29276;-0,47213;0,31877;-0,033537;0,71296
0,8463;0,73549;0,48787;0,46616;0,79389;0,29276;-0,43074;-0,38694;-0,14586;0,50259
0,602;0,49318;0,54798;0,32837;0,74013;0,29276;-0,44737;0,74781;-0,40657;0,25604
0,35769;0,25083;0,54798;0,19057;0,68636;0,29276;-0,48876;0,38949;-0,50655;0,19625
0,72035;0,18298;0,54798;0,17224;0,63259;0,29276;-0,53016;-1,7008;-0,61627;0,061799
0,97119;0,81307;0,54798;0,17224;0,57883;0,31836;-0,57155;0,74781;-0,32195;-0,072706
0,40111;0,63401;0,54798;0,17224;0,52506;0,35487;-0,61294;-0,32008;0,029513;-0,20721
1,0044;0,76128;0,54798;0,17224;0,49098;0,39138;-0,58915;-0,08828;-0,12919;-0,26994
1,2562;1,2789;0,54798;0,17224;0,49098;0,42789;-0,53731;-0,38694;-0,36676;-0,26994
