Tagname,LC1,LC2,FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FI1,AI1FE,AI1ZN,AI1PB,AI2FE,AI2ZN,AI2PB,AI3FE,AI3ZN,AI3PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Flotation Cell 2 Level,Flotation Cell 4 Level,Air flow to Flotation Cell 1,Air flow to Flotation Cell 2,Air flow to Flotation Cell 3,Air flow to Flotation Cell 4,CuSO4 to Flotation Cell 1,SEX Flow to Flotation Cell 1,SEX Flow to Flotation Cell 3,NS Flow to Flotation Cell 1,Feed rate,Feed Fe,Feed Zn,Feed Pb,Con FE,Con Zn,Con PB,Tail FE,Tail Zn,Tail PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,cm,cm,m3/hr,m3/hr,m3/hr,m3/hr,l/min,l/min,l/min,l/min,l/s,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 13:12:00,-42.5,-61.8,247.3,301.5,499.3,494.0,0.0,0.0,0.0,0.0,280.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 13:22:00,-38.9,-28.2,248.9,301.3,493.5,495.8,0.0,0.0,0.0,0.0,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 13:32:00,-44.5,-39.9,249.0,296.6,496.8,501.5,0.0,0.0,0.0,0.0,206.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 13:42:00,-38.9,-33.1,247.6,300.9,498.1,498.2,0.0,0.0,0.0,0.0,216.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 13:52:00,-35.7,-29.0,254.3,306.7,493.6,493.7,0.0,0.0,0.0,0.0,265.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 14:02:00,-38.9,-36.9,250.1,301.4,496.5,499.9,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 14:12:00,-42.4,-34.2,249.9,300.4,500.8,498.8,0.0,0.0,0.0,0.0,161.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 14:22:00,-38.6,-30.6,250.5,300.8,499.8,501.8,0.0,0.0,0.0,0.0,227.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 14:32:00,-40.0,-35.8,250.4,300.8,498.5,500.7,0.0,0.0,0.0,0.0,229.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 14:42:00,-38.5,-44.7,250.3,300.1,499.8,504.8,40.4,0.0,0.0,0.0,205.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 14:52:00,-40.2,-39.0,250.1,297.8,498.1,493.8,0.0,0.0,0.0,0.0,201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 15:02:00,-44.5,-32.6,249.9,301.8,498.8,493.5,0.0,0.0,0.0,0.0,238.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 15:12:00,-39.1,-29.7,250.3,302.5,494.6,501.5,0.0,0.0,0.0,0.0,257.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 15:22:00,-39.2,-33.9,250.7,297.5,497.1,495.1,0.0,0.0,0.0,0.0,241.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 15:32:00,-39.8,-35.5,251.0,299.1,500.3,500.5,0.0,0.0,0.0,0.0,247.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 15:42:00,-38.2,-33.1,251.5,300.8,500.4,501.2,0.0,5.7,0.0,0.0,297.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 15:52:00,-37.5,-32.3,251.5,302.0,498.8,499.4,0.0,20.0,0.0,-0.1,334.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 16:02:00,-38.5,-34.8,250.9,302.8,496.3,496.6,0.0,15.6,0.0,0.0,281.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 16:12:00,-39.2,-34.6,250.3,303.5,498.1,500.9,0.0,0.0,0.0,0.0,299.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 16:22:00,-39.6,-34.2,249.8,304.2,496.4,501.4,0.1,0.0,0.0,0.0,291.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 16:32:00,-40.6,-34.8,249.2,303.3,499.4,503.1,0.1,0.0,0.0,0.0,300.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 16:42:00,-39.7,-35.4,248.5,300.2,502.0,498.7,0.1,0.0,0.0,0.0,309.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 16:52:00,-40.0,-35.2,248.0,300.9,499.1,503.7,0.1,0.0,0.0,0.0,342.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep-15 17:02:00,-39.3,-36.3,249.4,293.7,497.0,499.9,0.2,0.0,0.0,0.0,336.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
